1A,Sovereign Military Order of Malta
HE,Switzerland
HF,Poland
HF0,So Shetland
HG,Hungary
HH,Haiti
HI,Dominican Rep
HJ,Columbia
HK,Colombia
HK0,Malpelo Is
HK0,San Andres Is
HK0/A,San Andres Is
HK0/M,Malpelo Is
HL,South Korea
HM,North Korea
HN,Iraq
HO,Panama
HP,Panama
HQ,Honduras
HR,Honduras
HS,Thailand
HT,Nicaragua
HU,El Salvador
HV,Vatican City
HW,France
HX,France
HY,France
HZ,Saudi Arabia
I,Italy
IA,Italy
IB,Italy
IC,Italy
ID,Italy
IE,Italy
IF,Italy
IG,Italy
IH,Italy
II,Italy
IJ,Italy
IK,Italy
IL,Italy
IM,Italy
IN,Italy
IO,Italy
IP,Italy
IQ,Italy
IR,Italy
IS,Sardinia
IT,Sicily
IU,Italy
IV,Italy
IW,Italy
IX,Italy
IY,Italy
IZ,Italy
J2,Djibouti
J2/A,Abu Ail
J3,Grenada
J4,Greece
J45,Dodecanese
J49,Crete
J5,Guinea Bissau
J6,St Lucia
J7,Dominica
J8,St Vincent
JA,Japan
JB,Japan
JC,Japan
JD,Minami Torishima
JD,Ogasawara 
JD/O,Ogasawara
JE,Japan
JF,Japan
JG,Japan
JH,Japan
JI,Japan
JJ,Japan
JK,Japan
JL,Japan
JM,Japan
JN,Japan
JO,Japan
JP,Japan
JQ,Japan
JR,Japan
JS,Japan
JT,Mongolia 
JU,Mongolia
JV,Mongolia
JW,Svalbard Is
JX,Jan Mayen
JY,Jordan
K,United States of America
KA,United States of America
KB,United States of America
KC,United States of America
KD,United States of America
KE,United States of America
KF,United States of America
KG,United States of America
KH,United States of America
KI,United States of America
KJ,United States of America
KK,United States of America
KL,United States of America
KM,United States of America
KN,United States of America
KO,United States of America
KP,United States of America
KQ,United States of America
KR,United States of America
KS,United States of America
KT,United States of America
KU,United States of America
KV,United States of America
KW,United States of America
KX,United States of America
KY,United States of America
KZ,United States of America
KC4,Antarctica Bryd
KC4,Antarctica McMurdo
KC4,Antarctica Palmer
KC6,East Carolines
KC6,West Carolines
KC6/E,East Caroline
KC6/W,West Carolines
KG4,USA OR Guantanamo Bay
KG6,Guam
KH0,Mariana Is
KH1,Baker Howland
KH2,Guam
KH3,Johnston Is
KH4,Midway Is
KH5,Palmyra Is
KH5K,Kingman Reef
KH6,Hawaii
KH7,Kure Is
KH8,American Samoa
KH9,Wake Is
KL,Alaska
KP1,Navassa Is
KP2,Virgin Is
KP3,Puerto Rico
KP4,Puerto Rico
KP5,Desecheo Is
KV4,Virgin Is
L1,Argentina
L2,Argentina
L3,Argentina
L4,Argentina
L5,Argentina
L6,Argentina
L7,Argentina
L8,Argentina
L9,Argentina
LA,Norway
LB,Norway
LC,Norway
LD,Norway
LE,Norway
LF,Norway
LG,Norway
LH,Norway
LI,Norway
LJ,Norway
LK,Norway
LL,Norway
LM,Norway
LN,Norway 
LO,Argentina
LP,Argentina
LQ,Argentina
LR,Argentina
LS,Argentina
LT,Argentina
LU,Argentina
LV,Argentina
LW,Argentina
LX,Luxembourg
LY,Lithuania 
LZ,Bulgaria
M1,San Marino
M,England
MC,Wales
MD,Isle of Man
MH,Jersey
MI,Northern Ireland
MJ,Jersey
MM,Scotland
MN,Northern Ireland
MP,Guernsey
MS,Scotland
MT,Isle Of Man
MU,Guernsey
MW,Wales
MX,England
N,Unites States
NA,United States of America
NB,United States of America
NC,United States of America
ND,United States of America
NE,United States of America
NF,United States of America
NG,United States of America
NH,United States of America
NI,United States of America
NJ,United States of America
NK,United States of America
NL,United States of America
NM,United States of America
NN,United States of America
NO,United States of America
NP,United States of America
NQ,United States of America
NR,United States of America
NS,United States of America
NT,United States of America
NU,United States of America
NV,United States of America
NW,United States of America
NX,United States of America
NY,United States of America
NZ,United States of America
NC6,Eastern Carolines
NC6,Western Carolines
NH0,Mariana Is
NH1,Baker Howland
NH2,Guam
NH3,Johnston Is
NH4,Midway Is
NH5,Palmyra Is
NH5K,Kingman Reef
NH6,Hawaii
NH7,Kure Is
NH8,American Samoa
NH9,Wake Is
NL,Alaska
NP1,Navassa Is
NP2,Virgin Is
NP3,Puerto Rico
NP4,Puerto Rico
NP5,Desecheo Is
OA,Peru
OB,Peru
OC,Peru
OD,Lebanon
OE,Austria
OF,Finland
OF0,Aland Is
OG,Finland
OG0,Aland Is
OH,Finland
OH0,Aland Is
OH0M,Market Reef 
OI,Finland
OJ0,Market Reef 
OK,Czech Republic
OL,Czech Republic
OM,Slovakia
ON,Belgium 
OO,Belgium
OP,Belgium
OQ,Belgium
OR,Belgium
OS,Belgium
OT,Belgium
OX,Greenland
OY,Faroe Is
OZ,Denmark
P2,Papua
P3,Cyprus
P30,Cyprus
P36,Cyprus
P4,Aruba
P5,North Korea
P6,North Korea
P7,North Korea
P8,North Korea
P9,North Korea
PA,Netherlands
PB,Netherlands
PC,Netherlands
PD,Netherlands
PE,Netherlands
PF,Netherlands
PG,Netherlands
PH,Netherlands
PI,Netherlands
PJ,Neth Antilles
PJ,St Maarten
PJ0,Neth Antilles
PJ1,Neth Antilles
PJ2,Neth Antilles
PJ3,Neth Antilles
PJ4,Neth Antilles
PJ5,St Maarten
PJ7,St Maarten
PJ9,Neth Antilles
PK,Indonesia
PL,Indonesia
PM,Indonesia
PN,Indonesia
PO,Indonesia
PP,Brazil
PQ,Brazil
PQ,Brazil
PQ0F,Fernando De Noronha
PQ0S,Peter Paul Rocks
PQ0T,Trindade
PR,Brazil
PS,Brazil
PT,Brazil
PU,Brazil
PU0F,Fernando De Noronha
PU0S,Peter Paul
PU0T,Trindade
PX0F,Fernando De Noronha
PX0S,Peter Paul
PX0T,Trindade
PY,Brazil
PP1,Brazil
PY1,Brazil
PP2,Brazil
PQ2,Brazil
PT2,Brazil
PY2,Brazil
PY3,Brazil
PY4,Brazil  
PP5,Brazil
PY5,Brazil
PP6,Brazil
PY6,Brazil
PP7,Brazil
PR7,Brazil
PS7,Brazil
PT7,Brazil
PY7,Brazil
PP8,Brazil
PQ8,Brazil
PR8,Brazil
PS8,Brazil
PT8,Brazil
PV8,Brazil
PW8,Brazil
PY8,Brazil
PT9,Brazil
PY9,Brazil
PY0F,FERNANDO DE NORONHA IS.
PY0S,PETER AND PAUL ARCHIPELAGO
PY0T,TRINDADE AND MARTIM VAZ IS.
PY0,Fernando De Noronha
PY0,Peter Paul Rocks
PY0,Trindade
PY0/F,Fernando De Noronha
PY0/S,Peter Paul Rocks
PY0/T,Trindade
PY0F,Fer De Noronha
PY0S,Peter Paul Rocks
PY0T,Trindade
PZ,Suriname
R0,Asiatic Russia
R1,European Russia
R1AN,Antarctica
R1FJ,Franz Jo Land
R1MV,Malyj Vysotskij
R2,Kaliningrad
R3,European Russia
R4,European Russia
R5,European Russia
R6,European Russia
R7,Asiatic Russia
R8,Asiatic Russia
R9,Asiatic Russia
RA0,Asiatic Russia
RA1,European Russia
RA2,Kaliningrad
RA4,European Russia
RA5,European Russia
RA6,European Russia
RA7,Asiatic Russia
RA8,Asiatic Russia
RA9,Asiatic Russia
RB0,Asiatic Russia
RB1,European Russia
RB2,Kaliningrad
RB3,European Russia
RB4,European Russia
RB5,European Russia
RB6,European Russia
RB7,Asiatic Russia
RB8,Asiatic Russia
RB9,Asiatic Russia
RC0,Asiatic Russia
RC1,European Russia
RC2,Kaliningrad
RC3,European Russia
RC4,European Russia
RC5,European Russia
RC6,European Russia
RC7,Asiatic Russia
RC8,Asiatic Russia
RC9,Asiatic Russia
RD0,Asiatic Russia
RD1,European Russia
RD2,Kaliningrad
RD3,European Russia
RD4,European Russia
RD5,European Russia
RD6,European Russia
RD7,Asiatic Russia
RD8,Asiatic Russia
RD9,Asiatic Russia
RE0,Asiatic Russia
RE1,European Russia
RE2,Kaliningrad
RE3,European Russia
RE4,European Russia
RE5,European Russia
RE6,European Russia
RE7,Asiatic Russia
RE8,Asiatic Russia
RE9,Asiatic Russia
RF0,Asiatic Russia
RF1,European Russia
RF2,Kaliningrad
RF3,European Russia
RF4,European Russia
RF5,European Russia
RF6,European Russia
RF7,Asiatic Russia
RF8,Asiatic Russia
RF9,Asiatic Russia
RG1,European Russia
RG2,Kaliningrad
RG3,European Russia
RG4,European Russia
RG5,European Russia
RG6,European Russia
RG7,Asiatic Russia
RG8,Asiatic Russia
RG9,Asiatic Russia
RH0,Asiatic Russia
RH1,European Russia
RH2,Kaliningrad
RH3,European Russia
RH4,European Russia
RH5,European Russia
RH6,European Russia
RH7,Asiatic Russia
RH8,Asiatic Russia
RH9,Asiatic Russia
RI0,Asiatic Russia
RI1,European Russia
RI2,Kaliningrad
RI3,European Russia
RI4,European Russia
RI5,European Russia
RI6,European Russia
RI7,Asiatic Russia
RI8,Asiatic Russia
RI9,Asiatic Russia
RJ0,Asiatic Russia
RJ1,European Russia
RJ2,Kaliningrad
RJ3,European Russia
RJ4,European Russia
RJ5,European Russia
RJ6,European Russia
RJ7,Asiatic Russia
RJ8,Asiatic Russia
RJ9,Asiatic Russia
RK0,Asiatic Russia
RK1,European Russia
RK2,Kaliningrad
RK3,European Russia
RK4,European Russia
RK5,European Russia
RK6,European Russia
RK7,Asiatic Russia
RK8,Asiatic Russia
RK9,Asiatic Russia
RL0,Asiatic Russia
RL1,European Russia
RL2,Kaliningrad
RL3,European Russia
RL4,European Russia
RL5,European Russia
RL6,European Russia
RL7,Asiatic Russia
RL8,Asiatic Russia
RL9,Asiatic Russia
RM0,Asiatic Russia
RM1,European Russia
RM2,Kaliningrad
RM3,European Russia
RM4,European Russia
RM5,European Russia
RM6,European Russia
RM7,Asiatic Russia
RM8,Asiatic Russia
RM9,Asiatic Russia
RN0,Asiatic Russia
RN1,European Russia
RN2,Kaliningrad
RN3,European Russia
RN4,European Russia
RN5,European Russia
RN6,European Russia
RN7,Asiatic Russia
RN8,Asiatic Russia
RN9,Asiatic Russia
RO0,Asiatic Russia
RO1,European Russia
RO2,Kaliningrad
RO3,European Russia
RO4,European Russia
RO5,European Russia
RO6,European Russia
RO7,Asiatic Russia
RO8,Asiatic Russia
RO9,Asiatic Russia
RP0,Asiatic Russia
RP1,European Russia
RP2,Kaliningrad
RP3,European Russia
RP4,European Russia
RP5,European Russia
RP6,European Russia
RP7,Asiatic Russia
RP8,Asiatic Russia
RP9,Asiatic Russia
RQ0,Asiatic Russia
RQ1,European Russia
RQ2,Kaliningrad
RQ3,European Russia
RQ4,European Russia
RQ5,European Russia
RQ6,European Russia
RQ7,Asiatic Russia
RQ8,Asiatic Russia
RQ9,Asiatic Russia
RR0,Asiatic Russia
RR1,European Russia
RR2,Kaliningrad
RR3,European Russia
RR4,European Russia
RR5,European Russia
RR6,European Russia
RR7,Asiatic Russia
RR8,Asiatic Russia
RR9,Asiatic Russia
RS0,Asiatic Russia
RS1,European Russia
RS2,Kaliningrad
RS3,European Russia
RS4,European Russia
RS5,European Russia
RS6,European Russia
RS7,Asiatic Russia
RS8,Asiatic Russia
RS9,Asiatic Russia
RT0,Asiatic Russia
RT1,European Russia
RT2,Kaliningrad
RT3,European Russia
RT4,European Russia
RT5,European Russia
RT6,European Russia
RT7,Asiatic Russia
RT8,Asiatic Russia
RT9,Asiatic Russia
RU0,Asiatic Russia
RU1,European Russia
RU2,Kaliningrad
RU3,European Russia
RU4,European Russia
RU5,European Russia
RU6,European Russia
RU7,Asiatic Russia
RU8,Asiatic Russia
RU9,Asiatic Russia
RV0,Asiatic Russia
RV1,European Russia
RV2,Kaliningrad
RV3,European Russia
RV4,European Russia
RV5,European Russia
RV6,European Russia
RV7,Asiatic Russia
RV8,Asiatic Russia
RV9,Asiatic Russia
RW0,Asiatic Russia
RW1,European Russia
RW2,Kaliningrad
RW3,European Russia
RW4,European Russia
RW5,European Russia
RW6,European Russia
RW7,Asiatic Russia
RW8,Asiatic Russia
RW9,Asiatic Russia
RX0,Asiatic Russia
RX1,European Russia
RX2,Kaliningrad
RX3,European Russia
RX4,European Russia
RX5,European Russia
RX6,European Russia
RX7,Asiatic Russia
RX8,Asiatic Russia
RX9,Asiatic Russia
RY0,Asiatic Russia
RY1,European Russia
RY2,Kaliningrad
RY3,European Russia
RY4,European Russia
RY5,European Russia
RY6,European Russia
RY7,Asiatic Russia
RY8,Asiatic Russia
RY9,Asiatic Russia
RZ0,Asiatic Russia
RZ1,European Russia
RZ2,Kaliningrad
RZ3,European Russia
RZ4,European Russia
RZ5,European Russia
RZ6,European Russia
RZ7,Asiatic Russia
RZ8,Asiatic Russia
RZ9,Asiatic Russia
S0,Western Sahara
S2,Bangladesh
S3,Bangladesh
S4,South Africa
S5,Slovenia
S7,Seychelles
S8,South Africa
S9,Sao Tome
SI,Sweden
SJ,Sweden
SK,Sweden
SL,Sweden
SM,Sweden
SN,Poland
SO,Poland
SP,Poland
SQ,Poland
ST,Sudan
ST0,Southern Sudan
SU,Egypt
SV,Greece
SV/A,Mount Athos
SV5,Dodecanese
SV9,Crete
SW,Greece
SW5,Dodecanese
SW9,Crete
SX,Greece
SX5,Dodecanese
SX9,Crete
SY,Mount Athos
T2,Tuvalu
T3,Banaba Is
T3,Central Kiribati
T3,East Kiribati
T3,West Kiribati
T30,West Kiribati
T31,Central Kiribati
T32,East Kiribati
T33,Banaba Is
T4,Cuba
T5,Somalia
T6,Afghanistan
T7,San Marino
T8,So Africa
T88,Belau (Palau)(KC6)
T9,Bosnia Herzegovina
TA,Turkey
TD,Guatemala
TE,Costa Rica
TF,Iceland
TG,Guatemala
TH,France
TI,Costa Rica
TI9,Cocos Is
TJ,Cameroon
TK,Corsica
TL,Central Africa Rep
TM,France
TN,Congo
TO,France
TO5M,St. Pierre Miquelon
TQ,France
TR,Gabon
TT,Chad
TU,Ivory Coast
TV,France
TW,France
TX,France
TY,Benin
TZ,Mali
U0,Asiatic Russia
U1,European Russia
U2,Kaliningrad
U3,European Russia
U4,European Russia
U5,Ukraine
U6,European Russia
U7,Asiatic Russia
U8,Asiatic Russia
U9,Asiatic Russia
UA0,Asiatic Russia
UA2,Kaliningrad
UA9,Asiatic Russia
UB0,Asiatic Russia
UB1,European Russia
UB2,Kaliningrad
UB3,European Russia
UB4,European Russia
UB5,European Russia
UB6,European Russia
UB7,Asiatic Russia
UB8,Asiatic Russia
UB9,Asiatic Russia
UC0,Asiatic Russia
UC1,European Russia
UC2,Kaliningrad
UC3,European Russia
UC4,European Russia
UC5,European Russia
UC6,European Russia
UC7,Asiatic Russia
UC8,Asiatic Russia
UC9,Asiatic Russia
UD0,Asiatic Russia
UD1,European Russia
UD2,Kaliningrad
UD3,European Russia
UD4,European Russia
UD5,European Russia
UD6,European Russia
UD7,Asiatic Russia
UD8,Asiatic Russia
UD9,Asiatic Russia
UE0,Asiatic Russia
UE1,European Russia
UE2,Kaliningrad
UE3,European Russia
UE4,European Russia
UE5,European Russia
UE6,European Russia
UE7,Asiatic Russia
UE8,Asiatic Russia
UE9,Asiatic Russia
UF0,Asiatic Russia
UF1,European Russia
UF2,Kaliningrad
UF3,European Russia
UF4,European Russia
UF5,European Russia
UF6,European Russia
UF7,Asiatic Russia
UF8,Asiatic Russia
UF9,Asiatic Russia
UG1,European Russia
UG3,European Russia
UG4,European Russia
UG5,European Russia
UG6,European Russia
UH0,Asiatic Russia
UH1,European Russia
UH2,Kaliningrad
UH3,European Russia
UH4,European Russia
UH5,European Russia
UH6,European Russia
UH7,Asiatic Russia
UH8,Asiatic Russia
UH9,Asiatic Russia
UI0,Asiatic Russia
UI1,European Russia
UI2,Kaliningrad
UI3,European Russia
UI4,European Russia
UI5,European Russia
UI6,European Russia
UI7,Asiatic Russia
UI8,Asiatic Russia
UI9,Asiatic Russia
UJ,Uzbekistan
UK,Uzbekistan
UL,Uzbekistan
UM,Uzbekistan
UN,Kazakhstan
UO,Kazakhstan
UP,Kazakhstan
UQ,Kazakhstan
UR,Ukraine
US,Ukraine
UT,Ukraine
UU,Ukraine
UV,Ukraine
UW,Ukraine
UX,Ukraine
UY,Ukraine
UZ,Ukraine
V2,Antigua
V3,Belize
V4,St Kitts
V5,Namibia
V50,Namibia
V51,Namibia
V6,Fed Micronesia
V63,Fed Micronesia
V7,Marshall Is
V73,Marshall Is
V8,Brunei
V85,Brunei
VA,Canada
VB,Canada
VC,Canada
VD,Canada
VE1,New Brunswick
VE1,Nova Scotia
VE2,Quebec
VE3,Ontario
VE4,Manitoba
VE5,Saskatchewan
VE6,Alberta 
VE7,British Columbia
VE8,Yukon
VF,Canada
VG,Canada
VH,Australia
VI,Australia
VJ,Australia
VK0,Heard Is
VK0,Macquarie Is
VK0/H,Heard Is 
VK0/M,Macquarie Is 
VK1,Australia
VK2,Australia
VK3,Australia
VK4,Australia
VK5,Australia
VK6,Australia
VK7,Australia
VK8,Australia
VK9,Christmas Is
VK9,Cocos Keeling
VK9/H,Lord Howe
VK9/N,Norfolk Is 
VK9/W,Willis Is 
VK9/X,Christmas Is 
VK9/Y,Cocos Keeling 
VK9/Z,Mellish Reef 
VK9C,Cocos Keeling
VK9KC, Cocos Keeling
VK9KL, Lord Howe Is
VK9KM, Mellish Reef
VK9KN, Norfolk Is
VK9KW, Willis Is
VK9KX, Christmas Is
VK9L,Lord Howe Is
VK9M,Mellish Reef
VK9N,Norfolk Is
VK9NC, Cocos Keeling
VK9NL, Lord Howe Is
VK9NM, Mellish Reef
VK9NN, Norfolk Is
VK9NW, Willis Is
VK9NX, Christmas Is
VK9W,Willis Is
VK9X,Christmas Is
VK9ZC,Cocos Keeling
VK9ZL,Lord Howe Is
VK9ZM, Mellish Reef
VK9ZN,Norfolk Is
VK9ZW, Willis Is
VK9ZX,Christmas Is
VL,Australia
VM,Australia
VN,Australia
VO,Canada
VO1,Newfoundland
VO2,Labrador
VP2E,Anguilla
VP2M,Montserrat
VP2V,Brit Virg Isle
VP5,Turks Caicos
VP6,Pitcairn 
VP8/F,Falkland Is
VP8/G,So Georgia
VP8/O,So Orkney
VP8/SA, South Sandwich
VP8/SH, South Shetland
VP9,Bermuda
VQ9,Chagos
VR,China
VR2,Hong Kong
VR6,China
VS6,Hong Kong
VT,India
VU,India
VU4,Andaman Is
VU7,Laccadive Is
VV,India
VW,India
VX,Canada
VY,Canada
VY1,Yukon
VY2,Prince Edward Is
VY9,Prince Edward Is
VZ,Australia
W,United States of America
WA,United States of America
WB,United States of America
WC,United States of America
WD,United States of America
WE,United States of America
WF,United States of America
WG,United States of America
WH,United States of America
WI,United States of America
WJ,United States of America
WK,United States of America
WL,United States of America
WM,United States of America
WN,United States of America
WO,United States of America
WP,United States of America
WQ,United States of America
WR,United States of America
WS,United States of America
WT,United States of America
WU,United States of America
WV,United States of America
WW,United States of America
WX,United States of America
WY,United States of America
WZ,United States of America
WH0,Mariana Is
WH1,Baker Howland
WH2,Guam
WH3,Johnston Is
WH4,Midway Is
WH5,Palmyra Is
WH5K,Kingman Reef
WH6,Hawaii
WH7K,Kure Is
WH8,American Samoa
WH9,Wake Is
WL,Alaska
WP1,Navassa Is
WP2,Virgin Is
WP3,Puerto Rico
WP4,Puerto Rico
WP5,Desecheo Is
X5,Bosnia Herzegovina
XA,Mexico
XB,Mexico
XC,Mexico
